,workclass,education,age
8117, Self-emp-not-inc, Prof-school,35
8118, Private, Bachelors,42
8119, Self-emp-not-inc, HS-grad,34
8120, Private, 10th,44
8121, Private, Bachelors,32
8122, Private, Some-college,25
8123, Private, 11th,23
8124, Private, Prof-school,36
8125, Self-emp-not-inc, Bachelors,53
8126, Private, Doctorate,27
8127, Private, Bachelors,27
8128, Private, HS-grad,57
8129, Private, 11th,17
8130, Local-gov, HS-grad,59
8131, Private, HS-grad,34
8132, Private, 10th,30
8133, State-gov, Assoc-acdm,31
8134, ?, 11th,18
8135, Private, Some-college,23
8136, Private, HS-grad,19
8137, Self-emp-not-inc, Assoc-voc,20
8138, Self-emp-not-inc, HS-grad,52
8139, Local-gov, Bachelors,39
8140, Private, HS-grad,27
8141, Private, Some-college,19
8142, Local-gov, Bachelors,38
8143, Private, HS-grad,19
8144, Private, Bachelors,34
8145, Private, HS-grad,41
8146, Private, HS-grad,23
8147, ?, Assoc-acdm,24
8148, Private, Bachelors,24
8149, Private, 10th,22
8150, Private, Prof-school,45
8151, Private, HS-grad,45
8152, Private, Bachelors,48
8153, Private, Bachelors,42
8154, Self-emp-not-inc, Some-college,35
8155, Private, HS-grad,32
8156, Local-gov, HS-grad,51
8157, Private, Some-college,59
8158, Local-gov, HS-grad,31
8159, Local-gov, Bachelors,27
8160, Private, Bachelors,29
8161, Private, Assoc-acdm,57
8162, Private, HS-grad,40
8163, Private, HS-grad,31
8164, Private, 7th-8th,23
8165, Private, HS-grad,42
8166, Private, HS-grad,60
8167, Local-gov, Masters,53
8168, ?, Some-college,20
8169, Private, HS-grad,27
8170, Private, HS-grad,31
8171, State-gov, Bachelors,29
8172, Private, Bachelors,22
8173, Private, Bachelors,42
8174, Self-emp-inc, Prof-school,63
8175, Private, HS-grad,28
8176, Private, Some-college,79
8177, Private, HS-grad,39
8178, Private, 12th,29
8179, Private, 7th-8th,60
8180, Private, 12th,58
8181, Private, Assoc-acdm,20
8182, Private, HS-grad,44
8183, Private, HS-grad,47
8184, Private, HS-grad,59
8185, Private, Masters,37
8186, Private, HS-grad,21
8187, Private, Assoc-voc,68
8188, Private, Some-college,43
8189, ?, Some-college,23
8190, Private, HS-grad,23
8191, Local-gov, Masters,40
8192, Self-emp-not-inc, Some-college,45
8193, ?, Assoc-voc,34
8194, Private, Some-college,22
8195, Private, Bachelors,38
8196, Private, Some-college,24
8197, Private, HS-grad,23
8198, Federal-gov, Some-college,39
8199, Private, Some-college,26
8200, Private, HS-grad,24
8201, Private, Some-college,22
8202, Private, Bachelors,36
8203, Private, Some-college,20
8204, Private, 11th,18
8205, Private, Bachelors,38
8206, Self-emp-inc, Bachelors,43
8207, Private, HS-grad,56
8208, Private, Masters,42
8209, Private, Bachelors,35
8210, Private, Some-college,31
8211, Private, 1st-4th,73
8212, Private, Some-college,32
8213, Private, Masters,37
8214, Private, HS-grad,66
8215, Private, HS-grad,22
8216, Private, Assoc-voc,51
8217, Private, HS-grad,31
8218, Private, HS-grad,65
8219, Private, HS-grad,39
8220, Private, Some-college,48
8221, Private, Some-college,20
8222, ?, Assoc-acdm,28
8223, Private, Bachelors,48
8224, Federal-gov, Prof-school,29
8225, Self-emp-not-inc, Doctorate,36
8226, Self-emp-inc, Bachelors,35
8227, Private, Some-college,31
8228, State-gov, HS-grad,48
8229, Private, Assoc-voc,36
8230, Self-emp-not-inc, HS-grad,40
8231, Private, HS-grad,57
8232, Local-gov, Bachelors,26
8233, State-gov, HS-grad,37
8234, Private, Doctorate,65
8235, Self-emp-not-inc, 10th,26
8236, Private, Some-college,42
8237, Private, Masters,47
8238, Private, 7th-8th,62
8239, Private, Assoc-voc,27
8240, Self-emp-not-inc, Some-college,76
8241, ?, Some-college,20
8242, Private, Bachelors,29
8243, Private, 12th,29
8244, Private, 10th,32
8245, Self-emp-inc, Some-college,22
8246, Federal-gov, HS-grad,30
8247, Local-gov, Some-college,43
8248, Private, Bachelors,23
8249, Federal-gov, Prof-school,44
8250, Private, Bachelors,41
8251, State-gov, Masters,49
8252, Private, HS-grad,30
8253, Private, Some-college,23
8254, Private, HS-grad,39
8255, Private, Bachelors,32
8256, Private, Some-college,50
8257, Private, Some-college,19
8258, Private, Bachelors,35
8259, Private, HS-grad,23
8260, Private, Some-college,25
8261, Private, HS-grad,40
8262, Private, Bachelors,30
8263, Private, Some-college,52
8264, Private, Some-college,49
8265, Private, Bachelors,24
8266, Private, Bachelors,46
8267, Private, Bachelors,39
8268, Self-emp-not-inc, Bachelors,45
8269, Local-gov, Bachelors,62
8270, Private, Bachelors,43
8271, Private, Some-college,45
8272, Self-emp-not-inc, HS-grad,62
8273, Private, 5th-6th,48
8274, Private, HS-grad,56
8275, Private, HS-grad,28
8276, Private, HS-grad,23
8277, Private, HS-grad,43
8278, Private, Bachelors,26
8279, Private, HS-grad,36
8280, Local-gov, Doctorate,55
8281, State-gov, Bachelors,48
8282, Private, 5th-6th,43
8283, Private, Assoc-voc,38
8284, Private, HS-grad,18
8285, Self-emp-not-inc, HS-grad,56
8286, Self-emp-not-inc, Masters,39
8287, Private, 5th-6th,46
8288, Private, 11th,36
8289, Self-emp-not-inc, HS-grad,42
8290, Private, HS-grad,50
8291, Private, 11th,17
8292, Private, 7th-8th,57
8293, Private, HS-grad,73
8294, Federal-gov, Some-college,50
8295, Private, Some-college,35
8296, Private, Some-college,27
8297, ?, Some-college,24
8298, Private, Some-college,27
8299, Self-emp-not-inc, HS-grad,23
8300, Private, HS-grad,25
8301, Private, Bachelors,51
8302, Private, 10th,26
8303, Private, Some-college,47
8304, Private, HS-grad,40
8305, Private, 9th,58
8306, Private, Some-college,25
8307, Private, HS-grad,29
8308, Private, 11th,36
8309, Private, HS-grad,46
8310, Private, 1st-4th,69
8311, Private, HS-grad,69
8312, Private, HS-grad,28
8313, Private, HS-grad,20
8314, State-gov, HS-grad,54
8315, Private, Some-college,25
8316, Local-gov, HS-grad,64
8317, Private, HS-grad,17
8318, Federal-gov, HS-grad,53
8319, Private, 9th,50
8320, Private, HS-grad,57
8321, Private, Some-college,51
8322, ?, Some-college,20
8323, Private, Some-college,47
8324, Private, HS-grad,25
8325, State-gov, Prof-school,50
8326, Private, HS-grad,20
8327, State-gov, Prof-school,43
8328, Private, Bachelors,46
8329, Private, HS-grad,54
8330, Private, Some-college,53
8331, Private, HS-grad,21
8332, Private, Some-college,58
8333, Private, Bachelors,30
8334, Private, HS-grad,61
8335, State-gov, Some-college,56
8336, Private, HS-grad,59
8337, Private, HS-grad,72
8338, Private, HS-grad,33
8339, Private, HS-grad,46
8340, Local-gov, Some-college,46
8341, Private, HS-grad,48
8342, Private, HS-grad,33
8343, Private, Some-college,21
8344, Private, HS-grad,27
8345, Private, HS-grad,31
8346, Private, Bachelors,28
8347, Local-gov, Some-college,45
8348, Private, HS-grad,51
8349, State-gov, HS-grad,46
8350, Private, Some-college,25
8351, Private, Some-college,61
8352, Private, 11th,17
8353, Private, Bachelors,26
8354, Private, 10th,35
8355, Self-emp-not-inc, 11th,33
8356, Private, 12th,37
8357, Local-gov, HS-grad,39
8358, Private, HS-grad,42
8359, Private, Bachelors,35
8360, Private, HS-grad,45
8361, Self-emp-inc, Bachelors,47
8362, Private, 11th,64
8363, Private, Prof-school,39
8364, ?, HS-grad,43
8365, Private, HS-grad,34
8366, Private, Bachelors,62
8367, Private, Some-college,53
8368, Private, Bachelors,31
8369, Private, HS-grad,26
8370, Self-emp-inc, 7th-8th,56
8371, Private, Some-college,43
8372, Private, Some-college,33
8373, Self-emp-not-inc, Some-college,45
8374, Private, Some-college,46
8375, Private, Assoc-voc,26
8376, Private, HS-grad,24
8377, Private, Bachelors,43
8378, Private, Assoc-voc,40
8379, Private, 7th-8th,61
8380, Federal-gov, Some-college,34
8381, Private, HS-grad,85
8382, Private, HS-grad,41
8383, State-gov, Assoc-acdm,31
8384, Private, Some-college,22
8385, Private, HS-grad,60
8386, Private, Assoc-acdm,29
8387, ?, HS-grad,34
8388, State-gov, Bachelors,35
8389, Private, HS-grad,24
8390, Local-gov, Masters,45
8391, Local-gov, 12th,21
8392, Private, Assoc-acdm,30
8393, Self-emp-inc, Some-college,50
8394, Self-emp-not-inc, HS-grad,41
8395, Private, HS-grad,21
8396, Private, HS-grad,45
8397, Private, Bachelors,34
8398, Private, HS-grad,28
8399, Private, HS-grad,19
8400, Private, Bachelors,26
8401, Private, Bachelors,48
8402, Private, Bachelors,69
8403, Private, Some-college,41
8404, Private, Bachelors,43
8405, Private, HS-grad,28
8406, Local-gov, Some-college,65
8407, Private, Bachelors,31
8408, Private, Bachelors,28
8409, Private, Bachelors,51
8410, Private, Some-college,45
8411, Private, HS-grad,43
8412, Private, Assoc-acdm,31
8413, Private, Some-college,31
8414, Private, Some-college,45
8415, Private, Bachelors,20
8416, Private, Bachelors,25
8417, Private, HS-grad,36
8418, Private, Bachelors,31
8419, Private, Some-college,56
8420, Private, Bachelors,26
8421, Self-emp-not-inc, Some-college,47
8422, Self-emp-inc, HS-grad,40
8423, Private, HS-grad,32
8424, State-gov, Masters,34
8425, Private, HS-grad,37
8426, Private, HS-grad,38
8427, Private, Assoc-voc,19
8428, Private, 9th,49
8429, ?, HS-grad,18
8430, Private, Assoc-acdm,26
8431, Private, 7th-8th,82
8432, Private, HS-grad,40
8433, Private, Some-college,28
8434, Private, HS-grad,23
8435, Private, Some-college,19
8436, Private, HS-grad,67
8437, Private, Bachelors,43
8438, Private, Assoc-acdm,41
8439, Private, Assoc-voc,37
8440, Private, HS-grad,20
8441, Private, HS-grad,40
8442, Private, Masters,47
8443, Private, HS-grad,40
8444, State-gov, Bachelors,39
8445, Private, Some-college,24
8446, ?, HS-grad,78
8447, ?, Assoc-voc,67
8448, Private, Bachelors,49
8449, Private, HS-grad,66
8450, Private, HS-grad,52
8451, Self-emp-inc, HS-grad,59
8452, Private, HS-grad,72
8453, Federal-gov, HS-grad,35
8454, Private, Bachelors,30
8455, Private, Some-college,36
8456, Private, HS-grad,26
8457, Private, Bachelors,23
8458, Private, Bachelors,39
8459, Self-emp-not-inc, Prof-school,40
8460, Private, Bachelors,29
8461, Private, Bachelors,38
8462, Private, Bachelors,63
8463, Self-emp-not-inc, HS-grad,58
8464, Private, HS-grad,30
8465, State-gov, HS-grad,38
8466, Private, 5th-6th,25
8467, State-gov, Masters,44
8468, Private, Assoc-voc,43
8469, Private, Some-college,21
8470, Local-gov, Assoc-acdm,41
8471, Private, Bachelors,38
8472, ?, Bachelors,75
8473, Private, Some-college,29
8474, Self-emp-not-inc, HS-grad,52
8475, Private, HS-grad,47
8476, Private, Assoc-voc,28
8477, Private, Some-college,24
8478, State-gov, Masters,30
8479, Private, Some-college,30
8480, Private, Assoc-acdm,40
8481, Private, Some-college,27
8482, Private, HS-grad,26
8483, Private, HS-grad,32
8484, State-gov, Bachelors,36
8485, Private, 12th,26
8486, Private, Some-college,25
8487, Private, Some-college,39
8488, Private, Assoc-voc,27
8489, Private, HS-grad,24
8490, Self-emp-inc, Bachelors,38
8491, Self-emp-not-inc, HS-grad,35
8492, Private, Assoc-voc,29
8493, Private, HS-grad,49
8494, Private, 9th,36
8495, Self-emp-not-inc, Doctorate,47
8496, Private, Some-college,21
8497, Private, Bachelors,35
8498, Private, 1st-4th,38
8499, ?, Some-college,66
8500, Private, Masters,45
8501, Private, Some-college,19
8502, Private, HS-grad,18
8503, Private, Prof-school,37
8504, Private, Bachelors,49
8505, Local-gov, Assoc-voc,33
8506, Private, Some-college,27
8507, Local-gov, Some-college,34
8508, State-gov, Masters,54
8509, Self-emp-inc, Some-college,24
8510, Self-emp-not-inc, Prof-school,44
8511, Self-emp-not-inc, Bachelors,48
8512, Private, HS-grad,23
8513, Private, HS-grad,29
8514, Private, Assoc-acdm,21
8515, Private, 12th,18
8516, Private, 9th,18
8517, Private, HS-grad,29
8518, Private, HS-grad,29
8519, Private, HS-grad,41
8520, Private, HS-grad,32
8521, Private, 10th,61
8522, Private, HS-grad,79
8523, Private, Assoc-acdm,34
8524, Private, Bachelors,46
8525, Self-emp-not-inc, Assoc-voc,50
8526, Private, HS-grad,29
8527, Private, Some-college,23
8528, Private, Some-college,64
8529, Local-gov, Masters,70
8530, Local-gov, Assoc-acdm,28
8531, Private, Assoc-voc,51
8532, ?, Some-college,20
8533, State-gov, Bachelors,34
8534, Private, HS-grad,29
8535, Private, Bachelors,49
8536, Self-emp-inc, Some-college,77
8537, Private, HS-grad,32
8538, Private, Bachelors,27
8539, Private, Some-college,22
8540, Local-gov, HS-grad,35
8541, Local-gov, Bachelors,42
8542, State-gov, HS-grad,35
8543, ?, HS-grad,62
8544, Private, HS-grad,33
8545, Private, Some-college,45
8546, Private, Some-college,19
8547, Private, HS-grad,38
8548, Private, HS-grad,26
8549, Private, Bachelors,29
8550, Private, Bachelors,33
8551, Self-emp-not-inc, HS-grad,35
8552, Private, Some-college,42
8553, Private, Assoc-voc,20
8554, Federal-gov, Masters,43
8555, Private, 11th,69
8556, Private, HS-grad,39
8557, Private, HS-grad,37
8558, Private, Some-college,28
8559, Federal-gov, Bachelors,26
8560, Private, Some-college,32
8561, Federal-gov, Bachelors,43
8562, Private, HS-grad,49
8563, Private, 7th-8th,28
8564, Private, HS-grad,35
8565, ?, Some-college,19
8566, Local-gov, HS-grad,35
8567, Private, HS-grad,57
8568, Private, 9th,45
8569, Private, HS-grad,23
8570, Private, HS-grad,45
8571, Private, HS-grad,42
8572, Private, Bachelors,35
8573, Private, Bachelors,45
8574, Federal-gov, Bachelors,28
8575, Self-emp-inc, Assoc-voc,64
8576, Local-gov, Prof-school,44
8577, Self-emp-not-inc, HS-grad,59
8578, Private, HS-grad,41
8579, Private, Some-college,21
8580, Self-emp-not-inc, Assoc-voc,29
8581, Self-emp-not-inc, HS-grad,51
8582, Private, HS-grad,22
8583, Private, HS-grad,49
8584, Private, Assoc-acdm,53
8585, Private, Some-college,38
8586, Private, Some-college,23
8587, Private, HS-grad,20
8588, Private, Bachelors,40
8589, Private, Bachelors,25
8590, Private, Some-college,27
8591, Private, HS-grad,20
8592, Private, HS-grad,37
8593, Local-gov, HS-grad,40
8594, Private, Bachelors,28
8595, Self-emp-not-inc, HS-grad,38
8596, Private, Bachelors,42
8597, Federal-gov, Assoc-acdm,32
8598, Private, HS-grad,20
8599, State-gov, Bachelors,62
8600, Private, Some-college,31
8601, Self-emp-not-inc, HS-grad,31
8602, Private, HS-grad,24
8603, Local-gov, 7th-8th,62
8604, Local-gov, Some-college,43
8605, Private, Some-college,21
8606, Self-emp-inc, HS-grad,30
8607, ?, HS-grad,22
8608, Private, 10th,18
8609, Local-gov, Masters,59
8610, Self-emp-not-inc, 7th-8th,24
8611, Private, HS-grad,49
8612, State-gov, 11th,19
8613, Private, HS-grad,48
8614, Private, Prof-school,32
8615, Private, 10th,33
8616, Private, Bachelors,23
8617, Federal-gov, Prof-school,33
8618, Federal-gov, Some-college,50
8619, Private, Bachelors,30
8620, Private, Assoc-acdm,32
8621, Private, Some-college,39
8622, Private, Some-college,21
8623, Private, Bachelors,23
8624, Private, Bachelors,32
8625, Private, HS-grad,57
8626, State-gov, Some-college,22
8627, Private, HS-grad,70
8628, Private, Some-college,34
8629, Private, Masters,53
8630, Private, Some-college,21
8631, Private, HS-grad,37
8632, Self-emp-not-inc, HS-grad,60
8633, Private, 11th,23
8634, Private, 10th,32
8635, Private, HS-grad,57
8636, ?, HS-grad,65
8637, Private, Some-college,25
8638, Private, HS-grad,30
8639, Private, HS-grad,31
8640, Private, Some-college,19
8641, State-gov, Bachelors,23
8642, Private, HS-grad,44
8643, ?, Some-college,43
8644, Private, Some-college,42
8645, Self-emp-not-inc, 11th,34
8646, Private, HS-grad,32
8647, Private, Assoc-voc,25
8648, Private, Some-college,21
8649, Private, HS-grad,31
8650, Local-gov, Assoc-voc,36
8651, Self-emp-not-inc, Some-college,49
8652, Private, Bachelors,44
8653, Private, Assoc-voc,42
8654, Private, HS-grad,30
8655, Private, 10th,33
8656, Self-emp-not-inc, Bachelors,36
8657, Private, 10th,17
8658, Private, Some-college,20
8659, Private, HS-grad,32
8660, Self-emp-not-inc, HS-grad,33
8661, Private, Some-college,37
8662, Private, 10th,60
8663, State-gov, Some-college,35
8664, Federal-gov, Bachelors,43
8665, Private, Some-college,46
8666, Self-emp-not-inc, HS-grad,29
8667, Private, Bachelors,36
8668, Private, HS-grad,27
8669, Private, Some-college,50
8670, Private, Some-college,22
8671, State-gov, Masters,33
8672, Private, 10th,61
8673, ?, Assoc-voc,28
8674, Self-emp-not-inc, Assoc-voc,41
8675, Private, Some-college,22
8676, Private, Bachelors,27
8677, Private, HS-grad,25
8678, Private, HS-grad,32
8679, Private, Masters,28
8680, Private, Bachelors,25
8681, Private, Some-college,28
8682, Local-gov, Bachelors,37
8683, Private, HS-grad,58
8684, Private, HS-grad,39
8685, Private, Some-college,33
8686, Private, 10th,59
8687, Private, Bachelors,58
8688, Private, Assoc-voc,38
8689, Private, Some-college,34
8690, Private, Some-college,31
8691, Local-gov, HS-grad,48
8692, ?, HS-grad,65
8693, Private, HS-grad,45
8694, ?, Prof-school,80
8695, Private, HS-grad,23
8696, Private, Masters,33
8697, Self-emp-not-inc, Some-college,38
8698, Self-emp-not-inc, Masters,44
8699, Local-gov, Masters,48
8700, State-gov, HS-grad,40
8701, Local-gov, HS-grad,19
8702, Private, Bachelors,45
8703, Private, Some-college,34
8704, Private, Some-college,70
8705, Local-gov, Masters,32
8706, Private, Assoc-voc,33
8707, Private, Bachelors,24
8708, Local-gov, Bachelors,30
8709, Private, Some-college,22
8710, Self-emp-inc, Prof-school,52
8711, Self-emp-not-inc, 10th,67
8712, Private, HS-grad,40
8713, Private, Assoc-voc,55
8714, Private, HS-grad,29
8715, Private, HS-grad,62
8716, Private, HS-grad,22
8717, State-gov, 9th,64
8718, Self-emp-not-inc, Bachelors,29
8719, Private, Some-college,28
8720, Private, HS-grad,25
8721, State-gov, Doctorate,47
8722, Private, Bachelors,26
8723, Private, 12th,18
8724, Self-emp-inc, 10th,52
8725, Local-gov, Bachelors,48
8726, Private, HS-grad,36
8727, Private, Assoc-voc,23
8728, Private, HS-grad,41
8729, State-gov, HS-grad,56
8730, Private, HS-grad,53
8731, Private, Some-college,26
8732, Private, Some-college,22
8733, Private, Masters,25
8734, Private, Some-college,31
8735, Private, Assoc-acdm,36
8736, Private, Some-college,46
8737, State-gov, Assoc-acdm,46
8738, Private, Some-college,32
8739, Self-emp-not-inc, HS-grad,43
8740, Private, Bachelors,30
8741, Self-emp-inc, Bachelors,41
8742, Private, Masters,50
8743, State-gov, Masters,37
8744, Local-gov, HS-grad,22
8745, Federal-gov, HS-grad,51
8746, Private, Some-college,47
8747, Private, HS-grad,40
8748, Private, Some-college,46
8749, ?, Some-college,23
8750, Private, Some-college,30
8751, Self-emp-not-inc, HS-grad,27
8752, Local-gov, Some-college,31
8753, Private, 1st-4th,31
8754, Private, HS-grad,30
8755, Local-gov, Bachelors,50
8756, Private, Bachelors,27
8757, ?, Some-college,22
8758, Private, HS-grad,29
8759, Private, HS-grad,28
8760, Private, Bachelors,54
8761, State-gov, Assoc-voc,47
8762, Private, HS-grad,34
8763, Private, Some-college,26
8764, ?, 7th-8th,53
8765, State-gov, Some-college,23
8766, Local-gov, Masters,42
8767, Self-emp-not-inc, HS-grad,36
8768, Federal-gov, Bachelors,52
8769, ?, Some-college,22
8770, Local-gov, Masters,27
8771, Private, HS-grad,42
8772, Private, HS-grad,39
8773, State-gov, HS-grad,49
8774, Private, HS-grad,36
8775, Private, Preschool,20
8776, Self-emp-inc, HS-grad,55
8777, Private, 9th,47
8778, Private, Masters,33
8779, Private, Some-college,36
8780, Private, Doctorate,39
8781, Private, Bachelors,55
8782, ?, Assoc-acdm,21
8783, Private, Assoc-acdm,48
8784, Private, Assoc-voc,30
8785, Private, HS-grad,24
8786, Self-emp-not-inc, HS-grad,57
8787, Private, Some-college,20
8788, ?, Some-college,18
8789, Private, HS-grad,56
8790, Private, HS-grad,36
8791, Private, 10th,44
8792, Private, HS-grad,57
8793, Private, HS-grad,57
8794, Private, HS-grad,33
8795, ?, 7th-8th,61
8796, Private, Bachelors,39
8797, Private, HS-grad,28
8798, Private, Some-college,31
8799, Private, Assoc-acdm,60
8800, Local-gov, Assoc-voc,36
8801, Private, HS-grad,58
8802, Private, Some-college,50
8803, Local-gov, Bachelors,23
8804, Private, HS-grad,30
8805, ?, 11th,20
8806, Private, Prof-school,90
8807, Local-gov, Bachelors,49
8808, Local-gov, Bachelors,47
8809, Private, Doctorate,34
8810, Federal-gov, HS-grad,37
8811, Private, 10th,25
8812, Private, Assoc-acdm,37
8813, Private, HS-grad,47
8814, Private, HS-grad,34
8815, Private, Some-college,34
8816, Private, HS-grad,35
8817, Private, Some-college,39
8818, State-gov, 7th-8th,32
8819, Private, HS-grad,24
8820, Private, Prof-school,28
8821, Self-emp-not-inc, 7th-8th,41
8822, ?, HS-grad,69
8823, Private, HS-grad,32
8824, Private, HS-grad,58
8825, Self-emp-not-inc, HS-grad,47
8826, Private, Bachelors,41
8827, Self-emp-inc, HS-grad,35
8828, Private, Some-college,24
8829, Self-emp-not-inc, HS-grad,46
8830, Self-emp-inc, Bachelors,69
8831, Private, Bachelors,22
8832, State-gov, Masters,36
8833, Private, Bachelors,31
8834, Local-gov, Bachelors,23
8835, Private, Some-college,35
8836, Local-gov, Bachelors,37
8837, State-gov, Bachelors,35
8838, Private, 11th,18
8839, Private, 9th,43
8840, State-gov, HS-grad,53
8841, Local-gov, Some-college,54
8842, Private, HS-grad,29
8843, Private, Assoc-acdm,46
8844, Private, Some-college,24
8845, Private, Some-college,30
8846, Private, Some-college,23
8847, ?, Bachelors,27
8848, Private, HS-grad,36
8849, Self-emp-not-inc, Bachelors,38
8850, Private, Masters,33
8851, Private, Some-college,66
8852, Self-emp-not-inc, HS-grad,45
8853, ?, HS-grad,68
8854, Private, HS-grad,37
8855, Private, 10th,17
8856, Private, HS-grad,31
8857, Private, Bachelors,46
8858, Private, Bachelors,40
8859, Private, Some-college,34
8860, Private, 10th,56
8861, Private, Some-college,42
8862, Private, Masters,46
8863, Private, HS-grad,30
8864, Self-emp-not-inc, Bachelors,33
8865, Private, HS-grad,47
8866, Self-emp-not-inc, Assoc-acdm,57
8867, Private, 11th,34
8868, Private, HS-grad,40
8869, Private, HS-grad,33
8870, Private, HS-grad,22
8871, Private, 12th,29
8872, Federal-gov, HS-grad,53
8873, Private, HS-grad,36
8874, Private, HS-grad,45
8875, Private, Some-college,36
8876, Self-emp-not-inc, HS-grad,18
8877, Private, HS-grad,27
8878, Private, HS-grad,30
8879, Private, Bachelors,34
8880, Private, Bachelors,36
8881, Self-emp-not-inc, 7th-8th,36
8882, Private, Masters,48
8883, Self-emp-not-inc, Prof-school,41
8884, Private, 5th-6th,21
8885, State-gov, Masters,47
8886, Private, 1st-4th,41
8887, Self-emp-not-inc, 1st-4th,61
8888, Private, 7th-8th,64
8889, Private, Some-college,35
8890, Private, HS-grad,44
8891, Private, Some-college,20
8892, Local-gov, Some-college,23
8893, Private, 10th,52
8894, Private, Masters,43
8895, Private, Bachelors,32
8896, Private, Bachelors,63
8897, Private, Some-college,29
8898, Self-emp-inc, Some-college,42
8899, Private, 10th,65
8900, Private, HS-grad,24
8901, Private, Some-college,42
8902, Private, HS-grad,35
8903, Self-emp-inc, Bachelors,40
8904, Federal-gov, Some-college,38
8905, Private, HS-grad,26
8906, Self-emp-not-inc, HS-grad,46
8907, Private, Some-college,39
8908, ?, Bachelors,29
8909, Private, Doctorate,42
8910, Private, Bachelors,36
8911, Private, Some-college,26
8912, Private, Bachelors,57
8913, Private, HS-grad,55
8914, Private, Some-college,35
8915, Private, HS-grad,41
8916, Private, Some-college,24
8917, Private, HS-grad,47
8918, Self-emp-inc, Some-college,34
8919, Private, Bachelors,44
8920, ?, HS-grad,18
8921, Private, Bachelors,27
8922, Private, Bachelors,36
8923, Private, Bachelors,21
8924, Private, HS-grad,29
8925, Private, HS-grad,25
8926, Private, HS-grad,73
8927, Private, Assoc-voc,45
8928, Private, Bachelors,28
8929, Private, Bachelors,43
8930, Private, HS-grad,47
8931, Private, Some-college,20
8932, Private, Some-college,22
8933, Self-emp-not-inc, 7th-8th,76
8934, Private, Some-college,24
8935, Self-emp-not-inc, Some-college,54
8936, Private, Some-college,30
8937, Private, Some-college,33
8938, Private, Some-college,30
8939, Private, Assoc-acdm,40
8940, ?, Some-college,27
8941, Private, Assoc-voc,49
8942, Private, HS-grad,30
8943, Private, HS-grad,22
8944, Private, HS-grad,19
8945, Private, HS-grad,46
8946, Private, HS-grad,51
8947, Private, 7th-8th,56
8948, Private, Some-college,53
8949, ?, Assoc-voc,60
8950, Private, Bachelors,27
8951, Private, Some-college,46
8952, Private, HS-grad,37
8953, Private, Bachelors,41
8954, ?, Assoc-voc,65
8955, Self-emp-not-inc, Some-college,30
8956, Self-emp-not-inc, HS-grad,57
8957, Self-emp-inc, Some-college,44
8958, Self-emp-not-inc, HS-grad,32
8959, Self-emp-not-inc, HS-grad,27
8960, Local-gov, Some-college,57
8961, Self-emp-not-inc, Bachelors,59
8962, Private, Prof-school,32
8963, ?, HS-grad,90
8964, Private, Bachelors,22
8965, Private, HS-grad,39
8966, Private, Assoc-voc,43
8967, Local-gov, Bachelors,38
8968, Private, 9th,61
8969, Private, Some-college,24
8970, Private, Some-college,25
8971, Private, Assoc-voc,44
8972, Local-gov, HS-grad,55
8973, Private, Bachelors,90
8974, Private, HS-grad,30
8975, Private, HS-grad,44
8976, Private, 10th,36
8977, Self-emp-inc, Some-college,63
8978, Private, 5th-6th,60
8979, Self-emp-not-inc, Prof-school,34
8980, Self-emp-not-inc, 11th,49
8981, Private, Masters,47
8982, Self-emp-inc, HS-grad,42
8983, Private, 5th-6th,53
8984, Private, Some-college,23
8985, ?, Assoc-voc,28
8986, Private, Some-college,20
8987, Private, HS-grad,43
8988, Private, Prof-school,32
8989, Private, Bachelors,43
8990, Private, HS-grad,31
8991, ?, HS-grad,29
8992, Private, Some-college,24
8993, Private, Assoc-voc,39
8994, Private, Some-college,29
8995, Private, 5th-6th,20
8996, ?, Some-college,23
8997, Private, 11th,42
8998, Private, HS-grad,53
8999, Private, HS-grad,20
9000, Self-emp-not-inc, 1st-4th,58
9001, Self-emp-not-inc, HS-grad,51
9002, Private, HS-grad,25
9003, Private, Assoc-acdm,38
9004, Private, Some-college,41
9005, Private, Bachelors,58
9006, Private, 10th,25
9007, Private, HS-grad,50
9008, Private, Bachelors,32
9009, Self-emp-inc, Doctorate,31
9010, Private, Some-college,22
9011, Private, HS-grad,37
9012, Private, Some-college,32
9013, State-gov, Prof-school,46
9014, Private, HS-grad,62
9015, Local-gov, HS-grad,40
9016, Private, Bachelors,56
9017, Private, Some-college,37
9018, Private, 1st-4th,41
9019, Private, 7th-8th,56
9020, Private, Some-college,20
9021, Self-emp-not-inc, Bachelors,34
9022, Private, HS-grad,45
9023, Private, Some-college,30
9024, Self-emp-not-inc, HS-grad,51
9025, Private, 11th,27
9026, Private, Assoc-voc,38
9027, Private, Some-college,39
9028, ?, Bachelors,57
9029, Private, Some-college,47
9030, ?, HS-grad,77
9031, Private, HS-grad,43
9032, Local-gov, HS-grad,46
9033, Private, Some-college,41
9034, Private, HS-grad,20
9035, State-gov, 10th,30
9036, Private, HS-grad,30
9037, Private, Some-college,22
9038, Private, HS-grad,25
9039, Private, HS-grad,18
9040, Private, Bachelors,28
9041, Private, Bachelors,50
9042, Private, HS-grad,28
9043, Private, Some-college,21
9044, Private, Assoc-voc,37
9045, Federal-gov, Bachelors,28
9046, Private, 5th-6th,23
9047, Private, Assoc-voc,32
9048, Private, 12th,27
9049, Private, HS-grad,55
